sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000066,gzip,1048576,1048914,1.0003223419189453,30.9428,1.1231,True
sample_000066,bz2,1048576,1053788,1.0049705505371094,98.7999,66.2606,True
sample_000066,lzma,1048576,1048688,1.0001068115234375,260.5659,2.1883,True
sample_000066,zstd,1048576,1048609,1.0000314712524414,0.7297,0.3622,True
sample_000067,gzip,1048576,300678,0.28674888610839844,632.8678,1.9966,True
sample_000067,bz2,1048576,286800,0.2735137939453125,77.8671,45.6491,True
sample_000067,lzma,1048576,287236,0.2739295959472656,597.0173,15.199,True
sample_000067,zstd,1048576,325102,0.3100414276123047,5.0268,2.5904,True
sample_000068,gzip,1048576,3174,0.0030269622802734375,2.0097,0.8131,True
sample_000068,bz2,1048576,587,0.0005598068237304688,277.0912,5.1987,True
sample_000068,lzma,1048576,352,0.000335693359375,14.1211,2.079,True
sample_000068,zstd,1048576,170,0.0001621246337890625,0.3941,0.3738,True
sample_000069,gzip,1048576,33806,0.03223991394042969,28.9629,0.7931,True
sample_000069,bz2,1048576,29555,0.02818584442138672,7.7826,4.2996,True
sample_000069,lzma,1048576,25452,0.024272918701171875,149.9657,5.2294,True
sample_000069,zstd,1048576,26681,0.025444984436035156,1.3664,0.9358,True
sample_000070,gzip,1048576,137293,0.13093280792236328,41.3125,2.031,True
sample_000070,bz2,1048576,80793,0.07705020904541016,153.6592,32.8488,True
sample_000070,lzma,1048576,102892,0.09812545776367188,543.0408,7.53,True
sample_000070,zstd,1048576,169319,0.16147518157958984,3.8571,2.1032,True
sample_000071,gzip,1048576,309194,0.29487037658691406,226.7052,1.6271,True
sample_000071,bz2,1048576,302542,0.2885265350341797,235.8015,30.5759,True
sample_000071,lzma,1048576,294992,0.2813262939453125,277.5805,9.136,True
sample_000071,zstd,1048576,316828,0.3021507263183594,3.8606,1.4015,True
