sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000081,zstd,65536,5255,0.0801849365234375,0.1611,0.124,True
sample_000082,gzip,65536,27096,0.4134521484375,6.994,0.3027,True
sample_000082,bz2,65536,22926,0.349822998046875,6.6346,2.7174,True
sample_000082,lzma,65536,20940,0.31951904296875,21.7761,1.8651,True
sample_000082,zstd,65536,27306,0.416656494140625,0.5744,0.0725,True
sample_000083,gzip,65536,23511,0.3587493896484375,6.3059,0.1807,True
sample_000083,bz2,65536,21952,0.3349609375,13.0873,2.3447,True
sample_000083,lzma,65536,20704,0.31591796875,24.172,1.7887,True
sample_000083,zstd,65536,24212,0.36944580078125,0.2922,0.1083,True
sample_000084,gzip,262144,262242,1.0003738403320312,7.3024,0.4066,True
sample_000084,bz2,262144,263728,1.00604248046875,36.2212,18.2566,True
sample_000084,lzma,262144,262216,1.000274658203125,86.372,0.7374,True
sample_000084,zstd,262144,262159,1.0000572204589844,0.7329,0.038,True
sample_000085,gzip,262144,112812,0.4303436279296875,46.042,0.7207,True
sample_000085,bz2,262144,101821,0.3884162902832031,24.963,11.1887,True
sample_000085,lzma,262144,107584,0.410400390625,111.7337,5.295,True
sample_000085,zstd,262144,117438,0.44799041748046875,3.632,0.5958,True
sample_000086,gzip,262144,295,0.001125335693359375,0.7587,0.1815,True
sample_000086,bz2,262144,55,0.000209808349609375,37.3396,1.2522,True
sample_000086,lzma,262144,176,0.00067138671875,8.344,0.8251,True
sample_000086,zstd,262144,36,0.0001373291015625,0.3912,0.0864,True
sample_000087,gzip,262144,8446,0.03221893310546875,10.1287,0.1656,True
sample_000087,bz2,262144,8499,0.032421112060546875,4.0794,1.7835,True
sample_000087,lzma,262144,6280,0.023956298828125,53.5243,1.4716,True
sample_000087,zstd,262144,6072,0.023162841796875,0.3264,0.0916,True
sample_000088,gzip,262144,102452,0.3908233642578125,28.0005,1.1779,True
sample_000088,bz2,262144,88968,0.339385986328125,22.2841,9.5111,True
sample_000088,lzma,262144,77732,0.2965240478515625,121.9298,6.5631,True
sample_000088,zstd,262144,114576,0.43707275390625,3.5583,0.9352,True
sample_000089,gzip,262144,92942,0.35454559326171875,11.7982,0.5164,True
sample_000089,bz2,262144,89225,0.3403663635253906,56.4746,8.4872,True
sample_000089,lzma,262144,86320,0.32928466796875,69.7472,6.871,True
sample_000089,zstd,262144,97884,0.3733978271484375,1.6448,0.2513,True
sample_000090,gzip,1048576,1048914,1.0003223419189453,34.1236,1.1073,True
sample_000090,bz2,1048576,1053458,1.0046558380126953,158.8879,103.0922,True
sample_000090,lzma,1048576,1048688,1.0001068115234375,355.1546,1.9433,True
